,_amlo,_anaya,_bronco,_margarita,_meade,coordinates,country_code,created_at,id,place,text
0,1,0,0,0,0,"[-58.715083499999992, -34.485839499999997]",AR,2015-12-16 17:36:09,677180426809647104,"Los Polvorines, Argentina",peje tiene la misma importancia que taylor y tpr
1,1,0,0,0,0,"[-87.031664500000005, 21.048718999999998]",MX,2015-12-16 17:56:18,677185496288768000,"Benito Juárez, Quintana Roo",Chofer del Peje  #EmpleosPedorros
2,1,0,0,0,0,"[-94.390912499999999, 17.706791000000003]",MX,2015-12-16 18:04:36,677187586935296000,"Minatitlán, Veracruz de Ignacio de la Llave",#Recordamos Zafarrancho previo a la llegada de @lopezobrador_ en #PasoDelMacho https://t.co/mZg3Z77ngi #Xalapa #Veracruz
3,1,0,0,0,0,"[-99.182126000000011, 19.4857835]",MX,2015-12-16 18:11:58,677189438611439616,"Azcapotzalco, Distrito Federal",Jajajajajajaja ¡¡¡ES EL ETERNO CANDIDATO PERDEDOR A LA PRESIDENCIA!!! @RicardoAlemanMx @lopezobrador_ @lopezdoriga  https://t.co/XMMv9Ovxqk
4,1,0,0,0,0,"[-96.144291500000008, 19.804371]",MX,2015-12-16 18:17:49,677190910568886273,"Veracruz de Ignacio de la Llave, México",Diputados de Morena donarán bono de fin de año para universidades: AMLO https://t.co/V4HSmirV9s https://t.co/nAJJH4nD8P
5,1,0,0,0,0,"[-117.851089, 33.842863000000001]",US,2015-12-16 18:24:24,677192568694636545,"Anaheim, CA",Todo lo que sea violar leyes y frenar el desarrollo del País lo hace el peje López https://t.co/HGxpTFxnLg
6,0,1,0,0,0,"[-103.34831799999999, 20.592133]",MX,2015-12-16 18:39:07,677196269664636928,"Tlaquepaque, Jalisco",Se me hace taan extraño y raro que @RicardoAnayaC tenga snap 😐
7,0,0,0,1,0,"[-101.26996150000001, 20.396823999999999]",MX,2015-12-16 18:48:28,677198626586648577,"Valle de Santiago, Guanajuato","@TuiteraMx @Mzavalagc @DeniseDresserG @AristeguiOnline Ninguna de las anteriores, creo que la Dra Dresser es una mujer Educada e Inteligente"
8,0,0,1,0,0,"[-100.29359149999999, 25.6417185]",MX,2015-12-16 18:58:51,677201237926801408,"Monterrey, Nuevo León",@JaimeRdzNL    como le va padrino .Ayer lo vi en #lienzocharro #elHuajuco  Que bien me hubiera gustado saludarlo pero Había muchos guaruras😁
9,0,0,1,0,0,"[-103.42817049999999, 20.728076999999999]",MX,2015-12-16 19:04:50,677202744860545024,"Residencial Poniente, Zapopan",@JaimeRdzNL @elidagzzdeleon1 YA HICE MI DONACIÓN https://t.co/13c8dEIRFw
10,0,0,0,1,0,"[-101.26996150000001, 20.396823999999999]",MX,2015-12-16 19:23:34,677207457949614080,"Valle de Santiago, Guanajuato",@Iruel000 @claudialuciosol @AlfredoJalifeR_ Lo que dijo es que su amistad con @Mzavalagc trasciende sus diferencias políticas ¡Nada Más!
11,1,0,0,0,0,"[-99.417503499999995, 19.259087999999998]",MX,2015-12-16 19:30:14,677209133490110465,"Ocoyoacac, México",ANDRES MANUEL ES LA ÚNICA OPOSICIÓN REAL DEL SISTEMA DE GOBIERNO MEXICANO CORRUPTO
12,0,0,0,0,1,"[-99.417503499999995, 19.259087999999998]",MX,2015-12-16 19:31:26,677209437862420480,"Ocoyoacac, México","Osorio Chong, Beltrones, Peña-Aurelio Nuño y el representante de los intereses extranjeros en México, Meade Kuribreña, son barajas para 2018"
13,0,0,0,1,0,"[-99.417503499999995, 19.259087999999998]",MX,2015-12-16 19:32:22,677209671011164160,"Ocoyoacac, México","Margarita Zavala por el PAN y candidato independiente José Ramón de la Fuente (avalado por derecha empresarial), representan figuras 2018"
14,0,0,0,1,0,"[-101.3403935, 20.673542000000001]",MX,2015-12-16 19:33:49,677210035777220610,"Irapuato, Guanajuato",@claudialuciosol @Iruel000 @AlfredoJalifeR_ @Mzavalagc ¡Si no fueran trágicos serían cómicos!
15,1,0,0,0,0,"[-111.498181, 28.969862500000001]",MX,2015-12-16 19:50:21,677214198804299776,"Hermosillo, Sonora","Debemos tener mucho cuidado con políticos populistas como AMLO, lro. supeditan la economía a la política y mandan al diablo instituciones"
16,0,0,0,0,1,"[-103.48477450000001, 20.790657000000003]",MX,2015-12-16 19:53:47,677215061845250048,"Zapopan, Jalisco",@SEDESOL_mx @JoseAMeadeK Depende de la magnitud; para mejorar deberían aplicar EL VALOR ACCESIBILIDAD en los productos.
17,0,0,0,0,1,"[-101.27576999999999, 19.652723999999999]",MX,2015-12-16 20:06:21,677218223813603328,"Morelia, Michoacán de Ocampo",@SEDESOL_mx @JoseAMeadeK Esperemos por lo tanto que la pensión a adultos mayores aumente... y los pagos sean puntuales y constantes. 😌🤔🙋🏼
18,0,1,0,0,0,"[-103.65673849999999, 19.100341999999998]",MX,2015-12-16 20:42:11,677227244322840576,"Colima, México",@GustavoMadero indica que trabaja muy bien con @RicardoAnayaC y apoyan a Jorge Luis Preciado para que sea el primer gobernador panista
19,1,0,0,0,0,"[-87.031664500000005, 21.048718999999998]",MX,2015-12-16 20:44:49,677227906779783168,"Benito Juárez, Quintana Roo",@jrisco @VelascoM_ le llevaron un detallito como Amlo. https://t.co/9bUyUFN0je
20,1,0,0,0,0,"[80.764654000000007, 7.8786605000000005]",LK,2015-12-16 20:45:39,677228113596559360,Sri Lanka,@griego_tragico Pregúntale al Peje si no. xD
21,1,0,0,0,0,"[-99.164282499999999, 19.543933000000003]",MX,2015-12-16 21:13:14,677235055035473920,"Tlalnepantla de Baz, México",#LoTeniaQueDecir ... El rata amlo a vivido del erario toda su perra vida... https://t.co/BFdiaE0Bxv
22,1,0,0,0,0,"[-99.164282499999999, 19.543933000000003]",MX,2015-12-16 21:33:27,677240145704181761,"Tlalnepantla de Baz, México",#CuentaLaLeyendaQue ... hubo alguien que le saco a la rata amlo todos sus trapos al sol... https://t.co/WJ6aBLzDWK
23,1,0,0,0,0,"[-103.00394800000001, 22.711577000000002]",MX,2015-12-16 21:49:49,677244262203920386,"Jerez, Zacatecas",@fernandeznorona @lopezobrador_ @LuisTizoc Bien definidos|
24,1,0,0,0,0,"[-99.017016500000011, 19.432721999999998]",MX,2015-12-16 21:58:33,677246458731479041,"Nezahualcóyotl, México","Dice @lopezobrador_ q única encuesta válida la realizará @revistaproceso y @lajornadaonline, coordinados por  @AristeguiOnline @EvodiaDi"
25,0,0,0,0,1,"[-99.724181499999986, 17.391657500000001]",MX,2015-12-16 22:14:16,677250415365263360,"Chilpancingo de los Bravo, Guerrero",Supervisé y atendí en #Chilapa La Entrega de TVs del Programa #TDTmx @JoseAMeadeK @VRubioMarquez @HectorAstudillo https://t.co/UTKpwqGtun
26,0,0,1,0,0,"[-100.29359149999999, 25.6417185]",MX,2015-12-16 22:14:54,677250576325869568,"Monterrey, Nuevo León","@garza_myriam @JaimeRdzNL @GAMEZMARIO antes de la elección y durante el proceso no salió nada, https://t.co/OjXAjNjGii"
27,1,0,0,0,0,"[-4.4240310000000003, 36.764877999999996]",ES,2015-12-16 22:25:02,677253124864786432,"Malaga, Andalusia",AMLO: Diputados de Morena donarán bono de fin de año  https://t.co/MiAHgIAqDR
28,0,1,0,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-16 22:31:45,677254815450198016,"Benito Juárez, Distrito Federal",@JLozanoA @AccionNacional @RicardoAnayaC @JuanPabloAdame @eLiasLixa @mmarthamarquez @juanpablolh @RenanBarrera Gran Gusto coincidir Senador!
29,0,1,0,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-16 22:35:44,677255818438295552,"Benito Juárez, Distrito Federal",@JLozanoA @AccionNacional @RicardoAnayaC @JuanPabloAdame @eLiasLixa @juanpablolh @RenanBarrera @gueronieves un gusto!
30,0,1,0,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-16 22:38:55,677256620850614275,"Benito Juárez, Distrito Federal",@el_lonje_moco @JLozanoA @AccionNacional @RicardoAnayaC @JuanPabloAdame abrazos
31,1,0,0,0,0,"[-99.248009500000009, 19.318041999999998]",MX,2015-12-16 22:46:27,677258516097204224,"Álvaro Obregón, Distrito Federal","@lopezobrador_ Coincido con muchos de sus ideales, pero no creo que sea la mejor opción, que sea candidato a la presidencia."
32,1,0,0,0,0,"[80.764654000000007, 7.8786605000000005]",LK,2015-12-16 22:56:53,677261141513342976,Sri Lanka,@lleimz Lo mejor de los tuits de @lopezobrador_ son las mentadas de madre de las respuestas.
33,0,0,0,0,1,"[-99.153366000000005, 19.432836000000002]",MX,2015-12-16 23:21:40,677267377772367872,"Cuauhtémoc, Distrito Federal","La estrategia pa democratizar la productividad está tan bien hecha q el gob, en vez de hacer mejores reglas, vende esferas! @JoseAMeadeK"
34,0,0,1,0,0,"[-100.29359149999999, 25.6417185]",MX,2015-12-16 23:47:50,677273961198170113,"Monterrey, Nuevo León","Para ir considerándose, no? @JaimeRdzNL  https://t.co/oNa86nJl0Z"
35,0,0,1,0,0,"[-100.196134, 25.676603499999999]",MX,2015-12-17 00:49:50,677289564013137921,"Guadalupe, Nuevo León",¿Como es eso que con @JaimeRdzNL las parejas de gays y lesbianas no tienen permitido registrar a sus hijos?
36,1,0,0,0,0,"[-109.84179, 27.713652500000002]",MX,2015-12-17 01:30:30,677299798106443776,"Cajeme, Sonora","@lopezobrador_  que paso, ustedes no manipulan gente para redes sociales https://t.co/xnzcKTqmxY"
37,1,0,0,0,0,"[-100.955511, 22.3111195]",MX,2015-12-17 01:53:42,677305639429779456,"San Luis Potosí, México",Denuncia AMLO: reforma política del DF es una trampa para detener a Morena https://t.co/0OlqSVHTqH
38,1,0,0,0,0,"[-111.498181, 28.969862500000001]",MX,2015-12-17 02:00:05,677307242438234112,"Hermosillo, Sonora","@angieeus jejeje, trump, el peje gringo.!!"
39,1,0,0,0,0,"[-103.335882, 20.676651999999997]",MX,2015-12-17 02:05:32,677308616131543040,"Guadalajara, Jalisco",@AristeguiOnline Estas contenta Aristegui otro de tus idolos contlapache de AMLO recupera el botin el zangano A.Anaya.
40,0,0,1,0,0,"[-100.3652735, 25.807314499999997]",MX,2015-12-17 02:33:17,677315598670364672,"General Escobedo, Nuevo León","@JaimeRdzNL bronco ya no seas carmelita salinas, ya no seaa Miguel Herrera, que opinas de todo y nada sabes y eso que no tienes los medios"
41,0,0,1,0,0,"[-100.3652735, 25.807314499999997]",MX,2015-12-17 02:34:46,677315973204959232,"General Escobedo, Nuevo León","@JaimeRdzNL encima que ya tienes hasta la madre a la gente que voto en contra de Medina no por ti, ponte a jalar wey!"
42,0,0,1,0,0,"[-97.916772000000009, 22.270295000000001]",MX,2015-12-17 02:40:12,677317341986742272,"Tampico, Tamaulipas",@JaimeRdzNL hola sr gobernadoresparamipoderledesearunafeliznavidaduncumpleaños28 de dicunprosperoaño2016paraUD SUSCOLABORADORES AN.L.YELPAIS
43,0,0,1,0,0,"[-97.916772000000009, 22.270295000000001]",MX,2015-12-17 02:42:00,677317792069062656,"Tampico, Tamaulipas",@JaimeRdzNL  SOY EL CP Y MA CARLOS FGERARDO ARCE ONDARZA  QUE DEVIDO A MIS PROYECTOS DE ENERGIAS LIMPIAS SUSTENTABLES Y DE SALUD
44,0,0,1,0,0,"[-97.916772000000009, 22.270295000000001]",MX,2015-12-17 02:45:17,677318618342817793,"Tampico, Tamaulipas",@JaimeRdzNL 8112119597 83726578 PORFILIO DIAS 126 NTE. CENTRO DE MTY. ES NECESARIO LA PRECENCIA DE AGENTES DEL M.P.  EN MI CASA PARA DECLAR
45,0,0,1,0,0,"[-97.916772000000009, 22.270295000000001]",MX,2015-12-17 02:47:29,677319174767546369,"Tampico, Tamaulipas",@JaimeRdzNL DECLARAR EX FUNCIONARIOS DEL GOBIERNO ANTERIOR CORUPCION Y EMPRESARIOS LAVA DINERO MONOPOLIOS MUY FUERTES EN INDUSTRIA DELESTADO
46,0,0,1,0,0,"[-100.1687175, 25.778679]",MX,2015-12-17 02:50:11,677319853670141952,"Apodaca, Nuevo León",@JaimeRdzNL @COM_Mexico @INDEPORTENL @gpesqueira esperamos que todo se logre es una noticia diferente pero importante primero el deporte
47,0,0,1,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-17 03:27:34,677329259958951936,"Benito Juárez, Distrito Federal",@JaimeRdzNL @revistaproceso ¿y los derechos del niño? Nos encontramos ante una presunta violación de DDHH https://t.co/DCAprkgwdd
48,0,1,0,0,0,"[-102.5580375, 23.625418499999999]",MX,2015-12-17 03:37:23,677331729598668800,México,@FranciscoLpez3 @PRDmexico @abasave @CENPAN @diputadospan @RicardoAnayaC @diputadosdelPRD etc no entienden q prioridad es Mx y su mejora
49,0,0,0,1,0,"[6.1358044999999999, 49.607906]",LU,2015-12-17 03:51:50,677335365779333120,Luxemburgo,Luis... @Luis_Kanelo  es el tipo de seguidores de @Mzavalagc @LaHesmuda no se puede esperar mucho de el.. stalker! https://t.co/N9N3jeCDem
50,0,0,0,0,1,"[-99.64994999999999, 19.270806499999999]",MX,2015-12-17 04:00:48,677337623308984321,"Toluca, México","Al fin en casa (@ House Meade in Toluca, México) https://t.co/e6cKvcaY6L"
51,0,1,0,0,0,"[19.505569000000001, 47.161178500000005]",HU,2015-12-17 04:12:13,677340496688230401,Hungría,"@RicardoAnayaC @PEPE_BAEZ @JL_Preciado_ @AccionNacional @AccionJuvenil ahora en Colima?, si te la vives en Atlanta Ricardo... descaradao."
52,1,0,0,0,0,"[-118.1565195, 34.1121555]",US,2015-12-17 04:45:29,677348869055709185,"South Pasadena, CA",@SanCadilla porro de @lopezobrador_
53,1,0,0,0,0,"[-99.153366000000005, 19.432836000000002]",MX,2015-12-17 04:47:52,677349467561984000,"Cuauhtémoc, Distrito Federal",Como cuando AMLO te echa la luz alta 😂😂😂 https://t.co/9NfZg6cTVD
54,0,0,1,0,0,"[-100.27047400000001, 25.736714999999997]",MX,2015-12-17 04:57:30,677351891055972352,"San Nicolás de los Garza, Nuevo León",@SoyBenvenutti @GAMEZMARIO @samuel_garcias @JaimeRdzNL #noalauditorpriista basta de corrupcion. #porlagrandezadenuevoleon.
55,1,0,0,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-17 05:03:03,677353288912658432,"Benito Juárez, Distrito Federal","@EPN regala las teles, @lopezobrador_ regala la luz, ya sólo falta quién regale las chelas y la botana. @MaguMonero"
56,1,0,0,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-17 05:08:52,677354754612133890,"Benito Juárez, Distrito Federal",@SalvadorZA @EPN @lopezobrador_ @MaguMonero @corona @Papas_Sabritas ni Santa Clos se apuntaría con semejante regalo :-(
57,1,0,0,0,0,"[-100.3652735, 25.807314499999997]",MX,2015-12-17 05:08:59,677354782634283008,"General Escobedo, Nuevo León",@lopezobrador_  si en lugar de hacerle como el  Roosevelt le haces como los dip. MC y pides a los de Morena que regresen el bono de 300 mil?
58,1,0,0,0,0,"[-104.83757800000001, 23.954162500000002]",MX,2015-12-17 05:18:15,677357115086782465,"Durango, México",El @PRDmexico tiene tribus; @AMLOoficialNEWS cacique: @lopezobrador_ ; @PRI_Nacional familias y grupos duros; @CENPAN familias y expriistas
59,0,0,0,0,1,"[-99.305580499999991, 19.318697]",MX,2015-12-17 05:53:34,677366000581402625,"Cuajimalpa de Morelos, Distrito Federal",Qué tan cool saludar al Secretario de @SEDESOL_mx @JoseAMeadeK en la premier de #StarWarsForceAwakens #aplausos
60,0,0,0,0,1,"[-99.305580499999991, 19.318697]",MX,2015-12-17 05:58:48,677367319060865024,"Cuajimalpa de Morelos, Distrito Federal",Qué tan cool saludar al Srio. de @SEDESOL_mx @JoseAMeadeK en la premier de #StarWarsForceAwakens #aplausos está en onda 👍🏻 Cc @Erwin_Lino
61,1,0,0,0,0,"[-102.6943495, 22.7306065]",MX,2015-12-17 06:15:48,677371595875217409,"Zacatecas, México","Manda decir @lopezobrador_ que para que #MORENA los salve, debe seguir siendo ciudadanos de segunda mis queridos capitalinos #Nimodo."
62,1,0,0,0,0,"[-99.087860500000005, 19.4320755]",MX,2015-12-17 07:14:41,677386416335159297,"Venustiano Carranza, Distrito Federal","@LaydaSansores para q t  quejas si es igual q tu padre, tu padrino @lopezobrador_  y hasta tu misma de rateros .el comal le dijo a la olla"
63,1,0,0,0,0,"[-99.087860500000005, 19.4320755]",MX,2015-12-17 07:52:54,677396035291865088,"Venustiano Carranza, Distrito Federal",@lopezobrador_ @LaydaSansores no mas de las q tu le has dado al pueblo con tus marchas y plantones y robando descarado con videos de prueba
64,1,0,0,0,0,"[-99.087860500000005, 19.4320755]",MX,2015-12-17 07:55:08,677396596770799617,"Venustiano Carranza, Distrito Federal",@revistaproceso @LaydaSansores ya empieza @lopezobrador_  de chillon quiere mas dinero para sus cuentas familiares bancarias pinche ratero
65,1,0,0,0,0,"[-95.813229500000006, 18.8352255]",MX,2015-12-17 12:27:53,677465235180019712,"Alvarado, Veracruz de Ignacio de la Llave",Ese es el peje lagarto que presume de ser el más honesto de los políticos que han egresado del PRI. #políticos. #México.
66,0,0,1,0,0,"[-100.118882, 25.608331499999998]",MX,2015-12-17 12:53:05,677471578347540480,"Juárez, Nuevo León",@JaimeRdzNL Así se vio el apagón analógico en la Ciudad de México https://t.co/ClZWk8f9Ac
67,1,0,0,0,0,"[-87.031664500000005, 21.048718999999998]",MX,2015-12-17 13:39:49,677483336772661249,"Benito Juárez, Quintana Roo","@lopezobrador_ trampa, integración del congreso @julioastillero @AristeguiOnline @epigmenioibarra @jenarovillamil @DeniseDresserG @ShareThis"
68,1,0,0,0,0,"[-117.851089, 33.842863000000001]",US,2015-12-17 13:40:53,677483604717404160,"Anaheim, CA",@Antizombies @lopezobrador_ @_maguz_3 @JuanitoEsPRI @poeta_azul @jain36 @AlmaMaderoB Nos ha costado muchísimo mantenerlo. Algún beneficio ?
69,1,0,0,0,0,"[-87.031664500000005, 21.048718999999998]",MX,2015-12-17 13:43:02,677484147800084480,"Benito Juárez, Quintana Roo","@lopezobrador_ trampa, integración del congreso @lydiacachosi @SanjuanaMTZ @YoSoy132Media @ncv_Violeta @AlbaniaOC @alynmon @ShareThis"
70,1,0,0,0,0,"[-117.851089, 33.842863000000001]",US,2015-12-17 14:14:44,677492123571126272,"Anaheim, CA",@Antizombies @poeta_azul @jain36 Y la maldad y ambición de @lopezobrador_ para usar a los más desvalidos y sembrar violencia en el País
71,0,0,1,0,0,"[-99.161480499999996, 19.380613]",MX,2015-12-17 14:21:56,677493935271383040,"Benito Juárez, Distrito Federal","@minturnn Ya sé. Ya me imagino a la raza toda eriza en plan de ""Dicen que al rato va a venir el Bronco"""
72,1,0,0,0,0,"[-99.64994999999999, 19.270806499999999]",MX,2015-12-17 14:22:08,677493988312506368,"Toluca, México","@lopezobrador_ Urge q los delegados del DF de Morena hagan auditorías y metan a la cárcel a los anteriores, ya basta de impunidad??"
73,0,0,0,1,0,"[-99.153366000000005, 19.432836000000002]",MX,2015-12-17 14:39:51,677498446362730496,"Cuauhtémoc, Distrito Federal",#Entrevista #AlAire en la cabina de @EnfoqueNoticias con @Mzavalagc https://t.co/9yF8ROL3Lp
74,0,0,0,0,1,"[-100.1687175, 25.778679]",MX,2015-12-17 14:52:57,677501741831577600,"Apodaca, Nuevo León",¿5 MDD pa q artesanos preserven tradiciones? ¿Y q van a hacer con esas piezas? ¿Guardarlas en bodega? @JoseAMeadeK https://t.co/iCaP84d0CU
75,0,0,1,0,0,"[-100.366033, 25.650287499999997]",MX,2015-12-17 14:55:45,677502447997157376,"San Pedro Garza García, Nuevo León",Y qué pasa con el Gober porque no dice nada si todo es trasparente o no ???@GAMEZMARIO @MAGS_SP o seguiremos igual @JaimeRdzNL
76,0,0,0,1,0,"[-99.417503499999995, 19.259087999999998]",MX,2015-12-17 14:57:46,677502953058516992,"Ocoyoacac, México",Escuchando a @Mzavalagc con @leonardocurzio una #mujer consciente de la realidad de los problemas que aún faltan por resolver en México.Slds
77,0,0,0,1,0,"[-99.153366000000005, 19.432836000000002]",MX,2015-12-17 15:01:53,677503992239288320,"Cuauhtémoc, Distrito Federal","@Mzavalagc buena entrevista con @leonardocurzio, bien por lealtad al PAN, pero el PAN no te es leal. Lánzate independiente!!"
78,0,0,0,1,0,"[-98.154266500000006, 19.0322295]",MX,2015-12-17 15:02:07,677504050577805313,"Puebla, México",En estrevista la señora @Mzavalagc solo evade los temas que el Dr. @leonardocurzio le plantea y le resultan incomodos.
79,1,0,0,0,0,"[-117.96854, 33.769044999999998]",US,2015-12-17 15:03:33,677504410944049153,"Garden Grove, CA","@Antizombies @poeta_azul @jain36 Igual que el peje López, van en contra del progreso del País. Es un Cancer pagado con nuestros impuestos"
80,0,0,0,1,0,"[-99.248009500000009, 19.318041999999998]",MX,2015-12-17 15:08:49,677505734255312896,"Álvaro Obregón, Distrito Federal","“@leonardocurzio: Reitera @Mzavalagc: ""las mujeres no somos extensión de nadie"". @EnfoqueNoticias.” ""No. Yo soy lo mismo que mi marido""."
81,0,0,0,0,1,"[-111.498181, 28.969862500000001]",MX,2015-12-17 15:09:04,677505797597696000,"Hermosillo, Sonora","Meade Dice que le da gusto ser reconocido cuando lo candidatean, pero no es un tema que le ocupe, pues está concentrado en la Secretaría"
82,1,1,0,1,0,"[-99.081789999999998, 19.236244499999998]",MX,2015-12-17 15:15:45,677507482437025793,"Xochimilco, Distrito Federal",¿Dónde están @RicardoAnayaC @Mzavalagc declarando furiosamente contra su narcosenador?¿sólo es cuando habla AMLO? https://t.co/3QhvKfNMnK
83,1,0,0,0,0,"[-60.029848000000001, -37.1475765]",AR,2015-12-17 15:22:40,677509222813278208,"Buenos Aires, Argentina",@10_prietto peje lagarto
84,0,0,0,1,0,"[-99.248009500000009, 19.318041999999998]",MX,2015-12-17 15:25:20,677509890751893504,"Álvaro Obregón, Distrito Federal",De visita en Enfoque estuvo @Mzavalagc quien es muy sencilla. Ccp @JuanIZavala @FelipeCalderon https://t.co/jhYDdO77Vm
85,0,0,0,0,1,"[-99.087860500000005, 19.4320755]",MX,2015-12-17 15:28:39,677510726815080448,"Venustiano Carranza, Distrito Federal",Meade y Eruviel anuncian inversión de 15 mil mdp para abatir pobreza en el Estado de México  https://t.co/AznmaT2rUK
86,0,0,0,0,1,"[-90.277140000000003, 19.601413999999998]",MX,2015-12-17 15:44:53,677514810825641984,"Campeche, México",@SEDESOL_mx @LorenaMartinez @JoseAMeadeK La lucha contra la pobreza es un compromiso moral que debemos asumir todos: https://t.co/X2MWdVuoEM
87,1,0,0,0,0,"[-99.050460999999999, 19.342788499999997]",MX,2015-12-17 15:46:32,677515226401529856,"Iztapalapa, Distrito Federal",¿Por qué @lopezobrador_ se opone a la #ReformaCDMX?Aquí lo explica  @ferbelaunzaran - https://t.co/7KKVpsgyHH… vía @medbelaunzaran
88,0,0,0,1,0,"[-99.248009500000009, 19.318041999999998]",MX,2015-12-17 15:53:17,677516928156479488,"Álvaro Obregón, Distrito Federal",“@TuiteraMx: ¿X qué @Mzavalagc felicita a @DeniseDresserG x 1 premio y no a @AristeguiOnline x decenas d premios?” X q ambas son derechosas!
89,0,0,0,1,0,"[-99.153366000000005, 19.432836000000002]",MX,2015-12-17 15:53:27,677516968103051264,"Cuauhtémoc, Distrito Federal","#Entrevista ""Las mujeres no somos extensión de nadie"", reitera @Mzavalagc  https://t.co/3foxkTTTuU vía @EnfoqueNoticias"
90,0,1,0,0,0,"[-99.597544999999997, 18.521024499999999]",MX,2015-12-17 16:00:32,677518752569688064,"Taxco de Alarcón, Guerrero","En serio? @RicardoAnayaC no le da vergüenza hacer esos comerciales ""ellos"" los políticos TODA la clase política es igual nadie nos defiende"
91,1,0,0,0,0,"[-75.737505999999996, 4.812913]",CO,2015-12-17 16:09:41,677521051555876864,"Dosquebradas, Risaralda",Mi Peje Es Mas Chismoso Si Ese Día Iba A Ir Y Me Dijo Que No Iba A Estar😏😏👎
92,1,0,0,0,0,"[-75.737505999999996, 4.812913]",CO,2015-12-17 16:16:20,677522727134224384,"Dosquebradas, Risaralda",Mi Peje😭😭👎
93,1,0,0,0,0,"[-75.737505999999996, 4.812913]",CO,2015-12-17 16:19:15,677523461003153408,"Dosquebradas, Risaralda",Mi Peje Es El Único Que Realmente Sabe Lo Que Me Pasa😭😭👎
94,1,0,0,0,0,"[-75.737505999999996, 4.812913]",CO,2015-12-17 16:21:03,677523913778274304,"Dosquebradas, Risaralda",Hoy Depronto Voy Donde Mi Peje😭😭👎🙏
95,1,0,0,0,0,"[-100.4405945, 20.7152745]",MX,2015-12-17 16:26:03,677525171712880641,"Querétaro, Querétaro Arteaga","Lopez Obrador !!!! Jaja ok, no. https://t.co/hakuvyZ0N6"
96,1,0,0,0,0,"[-92.9164995, 18.021959500000001]",MX,2015-12-17 16:39:43,677528609586720768,"Centro, Tabasco",@ferbelaunzaran @lopezobrador_ @Por_Adela  @CiroDi  @hdemauleon @LuisCardenasMx @ezshabot @leozuckermann Me asombra su bipolaridad política.
97,1,0,0,0,0,"[-103.335882, 20.676651999999997]",MX,2015-12-17 16:50:39,677531363327643650,"Guadalajara, Jalisco",@JoannaPirod jueves de diversión?  El peje va a vender el avión presidencial cuando sea presidente y va a viajar peor viva aerobus
98,1,0,0,0,0,"[-122.07703450000001, 37.953816500000002]",US,2015-12-17 16:51:44,677531636611715072,"Pleasant Hill, CA",@lopezobrador_ viejo puto
